,Events | Median (HLA-DR-FITC),Events | Median (CD117-PE),Events | Median (CD45-ECD),Events | Median (CD34-PC5),Events | Median (CD38-PC7),Events | Median (FS Lin),Events | Median (SS Log),
UP00_000399_006.LMD,463,318,17966,262,1022,7.53E5,18799,
UP00_000376_006.LMD,1022,938,1022,225,899,7.13E5,16948,
UP00_000214_006.LMD,1022,581,1022,205,1022,7.07E5,21954,
UP00_000511_006.LMD,605,523,1022,197,1022,7.10E5,22000,
UP00_000384_006.LMD,1022,846,1022,227,1022,6.66E5,20923,
UP00_000605_006.LMD,1022,966,1022,329,1022,7.88E5,17934,
UP00_000455_006.LMD,812,620,1022,195,979,7.75E5,15962,
UP00_000636_006.LMD,1022,1022,1022,417,606,7.11E5,18844,
UP00_000194_006.LMD,1022,520,1022,264,1022,7.43E5,14339,
UP00_000348_006.LMD,724,532,1022,255,1022,7.92E5,18951,
UP00_000156_006.LMD,833,380,1022,247,318,8.56E5,15477,
UP00_000503_006.LMD,1022,653,1022,312,1022,6.76E5,17343,
UP00_000199_006.LMD,1022,464,1022,181,1022,7.41E5,18951,
UP00_000165_006.LMD,1022,573,1022,232,357,7.18E5,17934,
UP00_000627_006.LMD,656,459,1022,229,513,6.81E5,15128,
UP00_000231_006.LMD,777,433,1022,214,1022,7.75E5,19072,
fi06-000177_006.LMD,1022,992,1022,359,1022,6.55E5,20741,
UP00_000162_006.LMD,736,491,1022,274,604,8.00E5,13459,
UP00_000661_006.LMD,663,598,1022,60.1,979,6.88E5,15173,
UP00_000626_006.LMD,1022,986,1022,287,1022,8.34E5,20892,
UP00_000428_006.LMD,1022,723,1022,270,1022,7.56E5,23775,
UP00_000559_006.LMD,1022,771,1022,452,1022,7.45E5,19133,
UP00_000450_006.LMD,692,1022,1022,323,940,7.78E5,20392,
UP00_000554_006.LMD,1022,782,1022,129,833,6.96E5,16357,
UP00_000265_006.LMD,721,493,1022,266,1022,7.24E5,23289,
UP00_000414_006.LMD,724,360,1022,470,1022,7.29E5,14916,
fi06-000244_006.LMD,471,210,1022,227,314,5.80E5,9439,
UP00_000304_006.LMD,1022,1022,1022,237,1022,7.27E5,18147,
UP00_000073_006.LMD,1022,879,1022,301,1022,7.95E5,19542,
UP00_000297_006.LMD,1022,405,1022,148,1022,6.46E5,16857,
UP00_000065_006.LMD,1022,992,1022,280,1022,7.17E5,22910,
UP00_000551_006.LMD,1022,1022,1022,492,1022,7.10E5,17767,
UP00_000101_006.LMD,1022,702,1022,293,1022,8.00E5,17783,
UP00_000378_006.LMD,831,455,1022,300,1022,7.70E5,15310,
fi06-000049_006.LMD,1022,1022,1022,306,1022,6.58E5,22152,
UP00_000388_006.LMD,1022,644,1022,253,1022,6.30E5,16175,
UP00_000176_006.LMD,1022,577,1022,228,677,6.71E5,15067,
UP00_000295_006.LMD,1022,563,1022,462,1022,7.29E5,14885,
UP00_000043_006.LMD,1022,766,1022,234,1022,6.81E5,20331,
UP00_000430_006.LMD,754,419,1022,232,1022,6.70E5,19573,
UP00_000438_006.LMD,659,174,1022,86.7,723,4.66E5,4646,
UP00_000629_006.LMD,652,699,1022,269,1022,7.85E5,23198,
UP00_000657_006.LMD,1022,768,1022,251,1022,7.50E5,17995,
UP00_000415_006.LMD,970,626,15371,279,1022,7.50E5,21241,
UP00_000311_006.LMD,1022,457,1022,214,909,7.08E5,16994,
UP00_000015_006.LMD,1022,848,1022,430,1022,7.27E5,21666,
UP00_000179_006.LMD,1022,736,1022,206,612,7.05E5,19224,
UP00_000270_006.LMD,911,493,1022,285,1022,7.03E5,15932,
UP00_000329_006.LMD,944,585,1022,351,683,7.89E5,16675,
UP00_000254_006.LMD,1022,949,1022,226,1022,7.17E5,20695,
UP00_000226_006.LMD,1022,605,1022,215,1022,7.64E5,23047,
UP00_000416_006.LMD,1022,708,10083,297,1022,7.83E5,21014,
UP00_000354_006.LMD,1022,569,1022,355,1022,5.05E5,11108,
UP00_000099_006.LMD,1022,1003,1022,272,1022,7.07E5,22470,
UP00_000318_006.LMD,1022,1022,1022,223,1003,8.13E5,22106,
UP00_000105_006.LMD,946,566,1022,233,842,7.54E5,17054,
UP00_000138_006.LMD,1022,563,1022,243,1022,8.10E5,23138,
UP00_000317_006.LMD,1022,726,1022,155,1022,7.08E5,20574,
UP00_000332_006.LMD,1022,736,1022,260,1022,8.13E5,19740,
UP00_000327_006.LMD,1022,515,1022,229,1006,6.52E5,13019,
UP00_000025_006.LMD,801,553,1022,210,1022,7.20E5,21818,
fi06-000433_006.LMD,1022,913,1022,323,1022,7.83E5,18101,
UP00_000355_006.LMD,1022,789,1022,297,1022,7.48E5,18056,
UP00_000056_006.LMD,1022,653,1022,176,1022,7.59E5,19967,
UP00_000585_006.LMD,1022,1022,1022,268,1022,7.67E5,17070,
UP00_000478_006.LMD,846,522,1022,333,1022,7.63E5,16478,
UP00_000519_006.LMD,530,280,1022,350,742,7.70E5,13353,
UP00_000509_006.LMD,1022,836,1022,218,1022,7.56E5,17767,
UP00_000343_006.LMD,1022,798,1022,211,1022,8.01E5,22789,
UP00_000374_006.LMD,1022,778,1022,291,1022,7.34E5,20528,
UP00_000620_006.LMD,905,846,1022,281,1022,8.39E5,22334,
UP00_000157_006.LMD,494,535,1022,212,604,7.09E5,19375,
UP00_000186_006.LMD,1022,903,1022,288,689,7.66E5,16493,
UP00_000744_006.LMD,716,485,1022,183,1022,6.16E5,13095,
UP00_000248_006.LMD,624,434,1022,188,983,7.22E5,18602,
UP00_000276_006.LMD,966,532,1022,272,1022,8.20E5,13034,
UP00_000696_006.LMD,1022,820,1022,204,1022,7.66E5,18223,
UP00_000253_006.LMD,1022,810,1022,181,1006,6.69E5,19133,
UP00_000091_006.LMD,1022,791,1022,393,1022,7.43E5,16963,
UP00_000078_006.LMD,561,593,1022,163,1022,7.15E5,19072,
UP00_000460_006.LMD,1022,1022,1022,319,1022,6.50E5,19269,
UP00_000121_006.LMD,1022,499,1022,178,535,8.10E5,21666,
UP00_000420_006.LMD,852,429,15898,214,1022,7.05E5,17510,
UP00_000497_006.LMD,940,578,1022,212,1022,8.12E5,22789,
UP00_000421_006.LMD,619,476,1022,253,1022,7.37E5,18587,
UP00_000751_006.LMD,1022,1022,1022,420,577,7.32E5,17358,
UP00_000052_006.LMD,707,549,1022,340,1022,7.63E5,17024,
UP00_000100_006.LMD,1022,905,1022,235,1022,7.23E5,21727,
UP00_000403_006.LMD,626,367,1022,386,964,7.48E5,15249,
UP00_000210_006.LMD,448,252,1022,63.3,951,6.19E5,17828,
UP00_000282_006.LMD,1022,789,1022,366,1022,7.89E5,15628,
UP00_000150_006.LMD,1022,718,1022,190,1022,7.37E5,19284,
fi05-001597_006.LMD,1022,791,1022,336,1022,8.72E5,18374,
UP00_000067_006.LMD,1022,766,1022,335,1022,7.80E5,18860,
UP00_000392_006.LMD,553,472,1022,207,1022,6.98E5,19284,
UP00_000182_006.LMD,1022,643,1022,186,773,7.26E5,18844,
UP00_000564_006.LMD,768,568,1022,238,1022,7.59E5,17980,
UP00_000372_006.LMD,1022,879,1022,363,1022,7.88E5,19588,
UP00_000051_006.LMD,731,526,1022,201,1022,7.76E5,18784,
UP00_000400_006.LMD,708,342,1022,557,1022,7.01E5,15234,
UP00_000365_006.LMD,846,555,1022,233,1022,5.95E5,24518,
UP00_000249_006.LMD,800,547,1022,197,1022,7.08E5,17676,
UP00_000223_006.LMD,629,430,1022,260,1022,7.59E5,21909,
UP00_000552_006.LMD,1022,1022,1022,481,1022,7.13E5,20346,
UP00_000763_006.LMD,907,655,1022,322,1022,7.58E5,16721,
UP00_000029_006.LMD,857,634,1022,277,1022,7.17E5,17145,
UP00_000319_006.LMD,1022,836,1022,221,1022,8.31E5,23866,
UP00_000785_006.LMD,1022,1022,1022,328,1008,6.15E5,13201,
UP00_000240_006.LMD,794,236,1022,48.9,1022,4.44E5,4630,
UP00_000412_006.LMD,1022,1022,14674,337,1022,7.90E5,22303,
UP00_000081_006.LMD,1022,576,1022,265,1022,7.50E5,16963,
UP00_000301_006.LMD,1022,792,1022,217,1022,6.33E5,18374,
UP00_000351_006.LMD,913,523,1022,371,1022,6.20E5,15811,
UP00_000604_006.LMD,810,495,1022,208,658,6.57E5,15431,
UP00_000330_006.LMD,944,567,1022,241,970,7.61E5,16706,
UP00_000127_006.LMD,1022,992,1022,399,1022,8.40E5,17980,
UP00_000613_006.LMD,758,655,1022,250,1022,8.25E5,26202,
UP00_000072_006.LMD,1022,771,1022,320,1015,8.28E5,17601,
UP00_000093_006.LMD,1022,992,1022,251,1022,7.52E5,19846,
UP00_000479_006.LMD,685,467,1022,284,1022,7.03E5,13732,
UP00_000235_006.LMD,930,504,1022,225,800,7.99E5,21818,
UP00_000340_006.LMD,1022,1017,1022,344,1022,7.23E5,20832,
UP00_000395_006.LMD,903,586,1022,244,1022,7.35E5,21514,
UP00_000652_006.LMD,1022,844,1022,190,1022,7.05E5,15158,
UP00_000727_006.LMD,756,452,1022,260,1022,9.00E5,15492,
UP00_000346_006.LMD,731,494,1022,301,1019,8.17E5,19952,
UP00_000396_006.LMD,1022,742,1022,198,1022,7.27E5,19997,
UP00_000377_006.LMD,1022,713,1022,213,1022,6.69E5,19360,
UP00_000560_006.LMD,1022,1022,1022,330,1022,6.69E5,15340,
UP00_000698_006.LMD,977,486,1022,144,1022,6.92E5,12746,
UP00_000109_006.LMD,949,749,1022,220,1022,7.94E5,25019,
UP00_000407_006.LMD,983,893,1022,449,1022,7.81E5,17176,
UP00_000352_006.LMD,1022,604,1022,343,649,6.12E5,17540,
UP00_000032_006.LMD,1017,649,1022,161,676,7.24E5,17479,
UP00_000021_006.LMD,800,439,1022,169,1022,7.41E5,22015,
UP00_000435_006.LMD,1022,925,1022,379,1022,7.20E5,19861,
UP00_000102_006.LMD,1022,1022,1022,253,1003,6.60E5,25125,
UP00_000685_006.LMD,598,394,1022,316,1022,6.84E5,18283,
UP00_000026_006.LMD,662,396,1022,186,1022,7.24E5,20240,
UP00_000556_006.LMD,1022,1006,1022,425,1022,7.64E5,18905,
UP00_000023_006.LMD,736,490,1022,438,1022,7.39E5,18753,
UP00_000405_006.LMD,653,669,10787,182,812,7.04E5,22334,
UP00_000423_006.LMD,147,107,1022,126,267,386918,2613,
UP00_000380_006.LMD,685,403,1022,267,1022,7.32E5,15947,
UP00_000154_006.LMD,691,457,1022,153,873,7.02E5,17631,
UP00_000084_006.LMD,1022,1022,1022,433,1022,8.01E5,14369,
UP00_000183_006.LMD,1022,524,1022,101,436,6.66E5,12989,
UP00_000041_006.LMD,907,361,1022,305,1022,7.02E5,15962,
UP00_000663_006.LMD,656,741,1022,168,613,5.18E5,11669,
UP00_000449_006.LMD,990,529,1022,144,1022,7.06E5,23335,
UP00_000393_006.LMD,865,485,1022,495,1022,7.82E5,17419,
UP00_000125_006.LMD,923,588,1022,334,957,8.17E5,13960,
UP00_000222_006.LMD,764,444,1022,172,1022,8.14E5,23168,
UP00_000643_006.LMD,990,942,1022,369,1022,7.70E5,19497,
UP00_000142_006.LMD,1022,800,1022,161,1022,6.28E5,14430,
UP00_000225_006.LMD,1022,577,1022,220,1022,7.86E5,22364,
UP00_000335_006.LMD,1022,784,1022,210,1022,8.46E5,21666,
UP00_000360_006.LMD,1022,682,1022,319,1022,5.62E5,16159,
UP00_000567_006.LMD,1022,957,1022,269,1013,6.53E5,19163,
UP00_000739_006.LMD,1022,561,1022,407,877,6.78E5,10835,
fi05-001529_006.LMD,1022,481,1022,83.6,764,5.44E5,9060,
UP00_000711_006.LMD,944,571,1022,209,1022,6.84E5,19011,
UP00_000471_006.LMD,719,652,1022,272,1022,6.29E5,22622,
UP00_000328_006.LMD,1022,608,1022,336,1022,7.80E5,15371,
UP00_000227_006.LMD,1022,640,1022,260,792,6.50E5,9197,
UP00_000046_006.LMD,1022,713,1022,418,1022,7.20E5,17889,
UP00_000499_006.LMD,1006,493,1022,296,1022,7.68E5,19512,
UP00_000211_006.LMD,771,507,1022,239,1022,7.65E5,21924,
UP00_000016_006.LMD,979,523,1022,282,1022,7.46E5,21287,
UP00_000061_006.LMD,1022,737,1022,382,1022,7.72E5,20953,
UP00_000362_006.LMD,861,386,1022,209,944,6.38E5,10304,
UP00_000588_006.LMD,992,662,1022,338,1022,8.35E5,16690,
UP00_000367_006.LMD,928,586,1022,172,1022,7.07E5,16979,
UP00_000152 005 002.LMD,1022,697,1022,439,584,8.34E5,12943,
UP00_000184_006.LMD,1022,680,11204,404,708,8.91E5,16144,
UP00_000220_006.LMD,848,314,1022,130,1022,6.96E5,16766,
UP00_000489_006.LMD,1022,668,1022,249,1022,7.07E5,18496,
UP00_000155_006.LMD,1022,653,1022,345,873,8.65E5,14294,
UP00_000161_006.LMD,716,408,1022,175,407,6.77E5,15492,
UP00_000350_006.LMD,1022,532,1022,159,1022,7.58E5,19163,
UP00_000387_006.LMD,919,544,1022,405,1022,8.13E5,17692,
UP00_000390_006.LMD,590,378,1022,711,1006,7.67E5,20452,
UP00_000259_006.LMD,859,486,1022,179,1022,7.14E5,20756,
UP00_000486_006.LMD,1022,694,1022,274,1022,6.70E5,18875,
UP00_000532_006.LMD,729,511,1022,249,1022,6.63E5,18465,
UP00_000618_006.LMD,1022,1022,1022,319,1022,7.64E5,17980,
UP00_000175_006.LMD,1022,838,1022,260,1010,7.88E5,14855,
UP00_000147_006.LMD,938,598,1022,251,1022,7.65E5,21727,
UP00_000473_006.LMD,775,758,1022,373,1022,7.61E5,14567,
UP00_000130_006.LMD,829,454,1022,193,1022,6.91E5,19042,
UP00_000201_006.LMD,1022,589,1022,300,1022,8.36E5,17191,
UP00_000555_006.LMD,1022,889,1022,339,1022,8.05E5,17070,
fi05-001646_006.LMD,915,486,1022,95.1,1022,7.23E5,18344,
fi05-001595_006.LMD,1022,655,1022,249,383,6.27E5,9136,
UP00_000192_006.LMD,1022,732,1022,871,921,8.56E5,18162,
UP00_000208_006.LMD,1022,447,1022,169,1022,6.58E5,13702,
UP00_000080_006.LMD,977,592,1022,220,1022,8.28E5,14946,
UP00_000561_006.LMD,1022,1022,1022,326,1022,6.60E5,12610,
UP00_000266_006.LMD,1022,741,1022,422,1022,7.60E5,12989,
UP00_000357_006.LMD,1022,859,1022,399,1022,6.82E5,18116,
UP00_000313_006.LMD,1022,455,1022,157,1022,7.25E5,18314,
UP00_000308_006.LMD,863,777,1022,157,1022,7.48E5,21696,
UP00_000069_006.LMD,1022,627,1022,327,1022,7.76E5,17874,
UP00_000541_006.LMD,747,567,1022,215,1022,6.70E5,17085,
UP00_000238_006.LMD,909,516,1022,199,1022,7.63E5,24533,
UP00_000557_006.LMD,807,596,1022,268,997,7.35E5,18647,
UP00_000027_006.LMD,1022,928,1022,221,1022,7.19E5,22971,
UP00_000129_006.LMD,1022,913,1022,216,923,7.52E5,19300,
UP00_000180_006.LMD,1022,780,1022,256,1022,7.85E5,19800,
UP00_000476_006.LMD,825,523,1022,315,1022,7.98E5,16250,
UP00_000148_006.LMD,646,389,1022,206,613,6.86E5,19284,
UP00_000306_006.LMD,1022,707,1022,269,986,6.80E5,14187,
UP00_000722_006.LMD,821,407,1022,219,1022,7.67E5,20923,
UP00_000177_006.LMD,1022,1022,1022,425,639,8.07E5,16038,
UP00_000621_006.LMD,1022,734,1022,281,1022,7.27E5,15401,
UP00_000299_006.LMD,891,529,1022,194,1022,6.88E5,24033,
UP00_000314_006.LMD,848,513,1022,172,1022,8.12E5,19906,
UP00_000055_006.LMD,846,679,1022,414,1022,7.57E5,18329,
UP00_000229_006.LMD,861,138,1022,0.10,660,4.49E5,4054,
UP00_000646_006.LMD,970,1003,1022,388,1022,7.29E5,23168,
UP00_000681_006.LMD,972,936,1022,288,1022,6.64E5,17479,
UP00_000543_006.LMD,445,305,1022,177,1022,7.26E5,22607,
UP00_000394_006.LMD,1022,1022,1022,348,1022,8.02E5,29979,
UP00_000035_006.LMD,562,388,1022,329,1022,7.25E5,17419,
UP00_000096_006.LMD,1022,789,1022,113,1022,6.74E5,14400,
UP00_000189_006.LMD,794,458,1022,184,1022,8.08E5,18708,
UP00_000753_006.LMD,1022,1022,1022,251,1022,6.49E5,22425,
UP00_000382_006.LMD,544,407,1022,208,930,7.07E5,25019,
UP00_000315_006.LMD,1022,669,1022,183,1022,8.38E5,26050,
UP00_000271_006.LMD,1022,593,1022,108,1022,5.74E5,9576,
UP00_000454_006.LMD,1022,1022,1022,291,1022,7.12E5,19724,
UP00_000436_006.LMD,608,519,1022,198,1022,7.11E5,19269,
UP00_000736_006.LMD,1022,768,1022,295,1022,8.17E5,17024,
UP00_000609_006.LMD,1022,812,1022,234,1022,6.98E5,14369,
UP00_000234_006.LMD,468,229,1022,272,482,6.60E5,9606,
UP00_000190_006.LMD,1022,852,20302,534,1022,8.35E5,14218,
UP00_000034_006.LMD,567,405,1022,145,1022,7.80E5,20877,
UP00_000566_006.LMD,861,663,1022,236,1022,7.32E5,17570,
UP00_000516_006.LMD,964,474,1022,238,1022,6.74E5,17434,
UP00_000472_006.LMD,913,736,1022,325,1022,6.66E5,19042,
UP00_000132_006.LMD,668,376,1022,177,1022,7.36E5,23289,
fi05-001633_006.LMD,1022,1022,1022,138,637,7.61E5,22789,
fi05-001528_006.LMD,1022,909,1022,181,1022,6.92E5,21150,
UP00_000296_006.LMD,768,459,1022,222,1022,7.60E5,20983,
UP00_000633_006.LMD,946,789,1022,221,1022,7.10E5,20892,
UP00_000580_006.LMD,825,831,1022,237,1022,7.18E5,19345,
UP00_000307_006.LMD,875,707,1022,201,1022,7.32E5,18298,
UP00_000144_006.LMD,1022,702,1022,197,1022,7.14E5,18951,
UP00_000429_006.LMD,782,620,1022,242,1022,7.03E5,19967,
UP00_000273_006.LMD,1022,633,1022,174,1022,7.46E5,19193,
UP00_000379_006.LMD,1022,601,1022,293,1022,7.18E5,16099,
UP00_000203_006.LMD,1022,731,1022,232,1022,7.81E5,16114,
UP00_000462_006.LMD,1022,608,1022,209,1022,5.82E5,27233,
UP00_000137_006.LMD,619,490,1022,224,1022,7.11E5,24472,
UP00_000031_006.LMD,620,439,1022,247,1022,7.31E5,18283,
UP00_000245_006.LMD,1022,580,1022,144,1022,6.14E5,18086,
UP00_000477_006.LMD,729,466,1022,332,1022,8.12E5,17510,
fi06-000620_006.LMD,1022,1022,1022,292,1022,8.28E5,20832,
UP00_000268_006.LMD,1022,630,1022,313,462,7.68E5,13034,
UP00_000153_006.LMD,641,430,1022,188,1022,7.19E5,19557,
UP00_000577_006.LMD,964,816,1022,241,1010,7.53E5,19997,
UP00_000107_006.LMD,756,552,1022,195,1022,7.31E5,20286,
UP00_000277_006.LMD,840,368,1022,130,1013,6.65E5,16736,
UP00_000614_006.LMD,1022,966,1022,580,1022,7.11E5,14112,
UP00_000149_006.LMD,1022,566,1022,246,711,7.32E5,21241,
UP00_000002_006.LMD,405,306,1022,32.1,1022,6.96E5,23395,
UP00_000670_006.LMD,875,758,1022,175,1022,7.19E5,13778,
UP00_000356_006.LMD,1022,1013,1022,255,699,7.23E5,17085,
UP00_000116_006.LMD,1022,759,1022,226,768,7.92E5,19846,
UP00_000370_006.LMD,1022,1022,1022,235,1022,7.55E5,17054,
UP00_000160_006.LMD,833,454,1022,214,472,7.26E5,20513,
UP00_000133_006.LMD,1022,376,1022,163,1022,7.41E5,22789,
UP00_000024_006.LMD,1022,796,1022,272,1022,7.35E5,22334,
UP00_000040_006.LMD,897,358,1022,169,1022,6.80E5,19573,
UP00_000537_006.LMD,688,535,1022,236,1022,6.58E5,19876,
UP00_000539_006.LMD,692,508,1022,330,576,7.87E5,16417,
UP00_000584_006.LMD,1022,867,1022,239,865,6.88E5,13353,
UP00_000070_006.LMD,1022,679,1022,228,1022,7.92E5,24579,
UP00_000595_006.LMD,694,581,1022,169,1022,8.29E5,16205,
UP00_000108_006.LMD,685,547,1022,186,1022,7.88E5,24002,
UP00_000758_006.LMD,1022,798,1022,731,1022,8.34E5,21378,
UP00_000110_006.LMD,742,503,1022,177,537,7.48E5,21954,
UP00_000272_006.LMD,859,438,1022,115,1022,6.04E5,14385,
UP00_000090_006.LMD,1022,846,1022,466,758,8.25E5,19557,
UP00_000737_006.LMD,1022,658,1022,288,649,6.00E5,14127,
UP00_000274_006.LMD,744,375,1022,247,692,7.76E5,11426,
UP00_000074_006.LMD,1022,1022,1022,261,1022,6.57E5,19133,
UP00_000290_006.LMD,1022,1022,1022,335,962,7.01E5,19042,
UP00_000322_006.LMD,1022,785,1022,820,1022,7.29E5,13505,
UP00_000691_006.LMD,1022,835,1022,208,1022,7.14E5,23972,
UP00_000514_006.LMD,1022,617,1022,378,1022,7.70E5,17692,
UP00_000077_006.LMD,1022,919,1022,216,1022,7.30E5,17570,
UP00_000188_006.LMD,899,345,1022,147,1022,7.52E5,13626,
UP00_000275_006.LMD,979,502,1022,215,1022,6.36E5,25989,
UP00_000097_006.LMD,1022,668,1022,232,1022,7.22E5,25125,
UP00_000085_006.LMD,1022,524,1022,332,1022,7.56E5,16539,
UP00_000213_006.LMD,1022,703,1022,346,1022,8.06E5,16250,
UP00_000699_006.LMD,1022,707,1022,241,1022,7.21E5,22045,
UP00_000298_006.LMD,1022,590,1022,223,1022,7.07E5,18753,
UP00_000441_006.LMD,1022,857,1022,267,1022,7.21E5,18647,
UP00_000656_006.LMD,1022,785,1022,258,1013,7.83E5,18101,
UP00_000218_006.LMD,1022,848,1022,285,1022,8.30E5,25534,
UP00_000742_006.LMD,1022,957,1022,182,1022,6.38E5,15628,
UP00_000284_006.LMD,1022,913,1022,401,1022,7.88E5,14855,
UP00_000104_006.LMD,1022,946,1022,273,1022,7.14E5,23335,
UP00_000383_006.LMD,1022,867,1022,310,1022,7.45E5,16220,
UP00_000233_006.LMD,605,402,1022,378,1022,7.16E5,18238,
UP00_000406_006.LMD,801,719,1022,352,953,7.91E5,16402,
UP00_000216_006.LMD,751,299,1022,161,499,4.71E5,11275,
UP00_000347_006.LMD,561,449,1022,291,1022,7.47E5,14415,
UP00_000540_006.LMD,879,602,1022,279,1022,6.78E5,20028,
UP00_000610_006.LMD,1022,798,1022,214,1022,6.54E5,15401,
UP00_000106_006.LMD,751,444,1022,238,959,7.65E5,16781,
UP00_000131_006.LMD,1022,153,1022,197,663,4.61E5,3538,
UP00_000247_006.LMD,700,297,1022,115,1022,6.17E5,19193,
UP00_000452_006.LMD,1022,1022,1022,210,1022,5.98E5,20361,
Mean,905,656,1364,266,952,7.26E5,18174,
SD,161,215,2194,108,157,75032,3911,
